paper_community,reference_community,year,citations
bioinformatics,information theory,2002,5
bioinformatics,information theory,2003,11
bioinformatics,information theory,2004,18
bioinformatics,information theory,2005,25
bioinformatics,information theory,2006,42
bioinformatics,information theory,2007,34
bioinformatics,information theory,2008,37
bioinformatics,information theory,2009,51
bioinformatics,information theory,2010,56
bioinformatics,information theory,2011,63
bioinformatics,information theory,2012,69
bioinformatics,information theory,2013,92
bioinformatics,information theory,2014,88
bioinformatics,information theory,2015,62
bioinformatics,information theory,2016,54
bioinformatics,information theory,2017,11
bioinformatics,medical informatics,2000,1
bioinformatics,medical informatics,2001,4
bioinformatics,medical informatics,2002,2
bioinformatics,medical informatics,2003,9
bioinformatics,medical informatics,2004,19
bioinformatics,medical informatics,2005,83
bioinformatics,medical informatics,2006,89
bioinformatics,medical informatics,2007,103
bioinformatics,medical informatics,2008,130
bioinformatics,medical informatics,2009,167
bioinformatics,medical informatics,2010,145
bioinformatics,medical informatics,2011,315
bioinformatics,medical informatics,2012,313
bioinformatics,medical informatics,2013,299
bioinformatics,medical informatics,2014,374
bioinformatics,medical informatics,2015,334
bioinformatics,medical informatics,2016,398
bioinformatics,medical informatics,2017,121
bioinformatics,multimedia,2001,1
bioinformatics,multimedia,2004,1
bioinformatics,multimedia,2006,2
bioinformatics,multimedia,2007,4
bioinformatics,multimedia,2008,3
bioinformatics,multimedia,2009,6
bioinformatics,multimedia,2010,1
bioinformatics,multimedia,2011,3
bioinformatics,multimedia,2012,5
bioinformatics,multimedia,2013,12
bioinformatics,multimedia,2014,5
bioinformatics,multimedia,2015,9
bioinformatics,multimedia,2016,12
bioinformatics,multimedia,2017,4
bioinformatics,networks,2000,1
bioinformatics,networks,2006,2
bioinformatics,networks,2007,3
bioinformatics,networks,2008,5
bioinformatics,networks,2009,2
bioinformatics,networks,2010,4
bioinformatics,networks,2011,4
bioinformatics,networks,2012,4
bioinformatics,networks,2013,10
bioinformatics,networks,2014,7
bioinformatics,networks,2015,22
bioinformatics,networks,2016,5
bioinformatics,networks,2017,6
bioinformatics,robotics,1998,1
bioinformatics,robotics,2002,2
bioinformatics,robotics,2003,4
bioinformatics,robotics,2004,8
bioinformatics,robotics,2005,2
bioinformatics,robotics,2006,2
bioinformatics,robotics,2007,15
bioinformatics,robotics,2008,6
bioinformatics,robotics,2009,20
bioinformatics,robotics,2010,14
bioinformatics,robotics,2011,11
bioinformatics,robotics,2012,19
bioinformatics,robotics,2013,20
bioinformatics,robotics,2014,17
bioinformatics,robotics,2015,31
bioinformatics,robotics,2016,11
bioinformatics,robotics,2017,3
bioinformatics,security,2010,2
bioinformatics,security,2012,3
bioinformatics,security,2015,3
bioinformatics,security,2016,7
bioinformatics,security,2017,2
bioinformatics,signal processing,1996,2
bioinformatics,signal processing,1999,3
bioinformatics,signal processing,2002,2
bioinformatics,signal processing,2003,4
bioinformatics,signal processing,2004,16
bioinformatics,signal processing,2005,15
bioinformatics,signal processing,2006,21
bioinformatics,signal processing,2007,36
bioinformatics,signal processing,2008,29
bioinformatics,signal processing,2009,64
bioinformatics,signal processing,2010,60
bioinformatics,signal processing,2011,74
bioinformatics,signal processing,2012,74
bioinformatics,signal processing,2013,92
bioinformatics,signal processing,2014,77
bioinformatics,signal processing,2015,98
bioinformatics,signal processing,2016,74
bioinformatics,signal processing,2017,33
bioinformatics,software systems,1995,4
bioinformatics,software systems,1996,1
bioinformatics,software systems,2000,2
bioinformatics,software systems,2001,2
bioinformatics,software systems,2002,3
bioinformatics,software systems,2004,4
bioinformatics,software systems,2005,10
bioinformatics,software systems,2006,4
bioinformatics,software systems,2007,8
bioinformatics,software systems,2008,15
bioinformatics,software systems,2009,14
bioinformatics,software systems,2010,9
bioinformatics,software systems,2011,9
bioinformatics,software systems,2012,14
bioinformatics,software systems,2013,11
bioinformatics,software systems,2014,12
bioinformatics,software systems,2015,24
bioinformatics,software systems,2016,8
bioinformatics,software systems,2017,4
bioinformatics,systems,1996,2
bioinformatics,systems,1997,2
bioinformatics,systems,1998,1
bioinformatics,systems,2000,2
bioinformatics,systems,2001,3
bioinformatics,systems,2004,3
bioinformatics,systems,2005,4
bioinformatics,systems,2006,12
bioinformatics,systems,2007,20
bioinformatics,systems,2008,21
bioinformatics,systems,2009,11
bioinformatics,systems,2010,36
bioinformatics,systems,2011,26
bioinformatics,systems,2012,25
bioinformatics,systems,2013,23
bioinformatics,systems,2014,30
bioinformatics,systems,2015,17
bioinformatics,systems,2016,30
bioinformatics,systems,2017,6
bioinformatics,theory,1992,1
bioinformatics,theory,1994,2
bioinformatics,theory,1995,19
bioinformatics,theory,1996,6
bioinformatics,theory,1997,10
bioinformatics,theory,1998,21
bioinformatics,theory,1999,9
bioinformatics,theory,2000,20
bioinformatics,theory,2001,22
bioinformatics,theory,2002,18
bioinformatics,theory,2003,50
bioinformatics,theory,2004,52
bioinformatics,theory,2005,88
bioinformatics,theory,2006,139
bioinformatics,theory,2007,149
bioinformatics,theory,2008,158
bioinformatics,theory,2009,135
bioinformatics,theory,2010,197
bioinformatics,theory,2011,217
bioinformatics,theory,2012,199
bioinformatics,theory,2013,154
bioinformatics,theory,2014,177
bioinformatics,theory,2015,127
bioinformatics,theory,2016,148
bioinformatics,theory,2017,46
bioinformatics,vision,1991,1
bioinformatics,vision,1993,1
bioinformatics,vision,1994,1
bioinformatics,vision,1995,1
bioinformatics,vision,1996,7
bioinformatics,vision,1997,1
bioinformatics,vision,1998,2
bioinformatics,vision,1999,3
bioinformatics,vision,2000,4
bioinformatics,vision,2001,12
bioinformatics,vision,2002,12
bioinformatics,vision,2003,22
bioinformatics,vision,2004,38
bioinformatics,vision,2005,84
bioinformatics,vision,2006,83
bioinformatics,vision,2007,100
bioinformatics,vision,2008,127
bioinformatics,vision,2009,163
bioinformatics,vision,2010,245
bioinformatics,vision,2011,230
bioinformatics,vision,2012,301
bioinformatics,vision,2013,336
bioinformatics,vision,2014,254
bioinformatics,vision,2015,309
bioinformatics,vision,2016,272
bioinformatics,vision,2017,116
computational linguistics,ai,1990,83
computational linguistics,ai,1991,40
computational linguistics,ai,1992,58
computational linguistics,ai,1993,40
computational linguistics,ai,1994,68
computational linguistics,ai,1995,45
computational linguistics,ai,1996,75
computational linguistics,ai,1997,36
computational linguistics,ai,1998,84
computational linguistics,ai,1999,52
computational linguistics,ai,2000,73
computational linguistics,ai,2001,43
computational linguistics,ai,2002,159
computational linguistics,ai,2003,120
computational linguistics,ai,2004,210
computational linguistics,ai,2005,207
computational linguistics,ai,2006,288
computational linguistics,ai,2007,177
computational linguistics,ai,2008,566
computational linguistics,ai,2009,367
computational linguistics,ai,2010,774
computational linguistics,ai,2011,596
computational linguistics,ai,2012,753
computational linguistics,ai,2013,643
computational linguistics,ai,2014,1213
computational linguistics,ai,2015,797
computational linguistics,ai,2016,772
computational linguistics,ai,2017,159
computational linguistics,bioinformatics,2001,1
computational linguistics,bioinformatics,2002,10
computational linguistics,bioinformatics,2003,4
computational linguistics,bioinformatics,2004,20
computational linguistics,bioinformatics,2005,29
computational linguistics,bioinformatics,2006,17
computational linguistics,bioinformatics,2007,2
computational linguistics,bioinformatics,2008,85
computational linguistics,bioinformatics,2009,38
computational linguistics,bioinformatics,2010,82
computational linguistics,bioinformatics,2011,38
computational linguistics,bioinformatics,2012,141
computational linguistics,bioinformatics,2013,74
computational linguistics,bioinformatics,2014,66
computational linguistics,bioinformatics,2015,22
computational linguistics,bioinformatics,2016,25
computational linguistics,bioinformatics,2017,6
computational linguistics,computational linguistics,1990,483
computational linguistics,computational linguistics,1991,310
computational linguistics,computational linguistics,1992,649
computational linguistics,computational linguistics,1993,318
computational linguistics,computational linguistics,1994,719
computational linguistics,computational linguistics,1995,495
computational linguistics,computational linguistics,1996,820
computational linguistics,computational linguistics,1997,540
computational linguistics,computational linguistics,1998,830
computational linguistics,computational linguistics,1999,703
computational linguistics,computational linguistics,2000,1249
computational linguistics,computational linguistics,2001,528
computational linguistics,computational linguistics,2002,1811
computational linguistics,computational linguistics,2003,1047
computational linguistics,computational linguistics,2004,2374
computational linguistics,computational linguistics,2005,1576
computational linguistics,computational linguistics,2006,2093
computational linguistics,computational linguistics,2007,1241
computational linguistics,computational linguistics,2008,4088
computational linguistics,computational linguistics,2009,2808
computational linguistics,computational linguistics,2010,5946
computational linguistics,computational linguistics,2011,4059
computational linguistics,computational linguistics,2012,6262
computational linguistics,computational linguistics,2013,4617
computational linguistics,computational linguistics,2014,7616
computational linguistics,computational linguistics,2015,2858
computational linguistics,computational linguistics,2016,2424
computational linguistics,computational linguistics,2017,554
computational linguistics,data mining,1991,1
computational linguistics,data mining,1996,1
computational linguistics,data mining,1999,1
computational linguistics,data mining,2000,1
computational linguistics,data mining,2001,4
computational linguistics,data mining,2002,6
computational linguistics,data mining,2003,5
computational linguistics,data mining,2004,12
computational linguistics,data mining,2005,11
computational linguistics,data mining,2006,17
computational linguistics,data mining,2007,19
computational linguistics,data mining,2008,64
computational linguistics,data mining,2009,37
computational linguistics,data mining,2010,149
computational linguistics,data mining,2011,101
computational linguistics,data mining,2012,176
computational linguistics,data mining,2013,103
computational linguistics,data mining,2014,184
computational linguistics,data mining,2015,95
computational linguistics,data mining,2016,61
computational linguistics,data mining,2017,26
computational linguistics,databases,1990,8
computational linguistics,databases,1991,3
computational linguistics,databases,1992,9
computational linguistics,databases,1993,10
computational linguistics,databases,1994,12
computational linguistics,databases,1995,11
computational linguistics,databases,1996,26
computational linguistics,databases,1997,27
computational linguistics,databases,1998,61
computational linguistics,databases,1999,43
computational linguistics,databases,2000,66
computational linguistics,databases,2001,70
computational linguistics,databases,2002,190
computational linguistics,databases,2003,85
computational linguistics,databases,2004,216
computational linguistics,databases,2005,109
computational linguistics,databases,2006,199
computational linguistics,databases,2007,91
computational linguistics,databases,2008,438
computational linguistics,databases,2009,286
computational linguistics,databases,2010,689
computational linguistics,databases,2011,516
computational linguistics,databases,2012,711
computational linguistics,databases,2013,500
computational linguistics,databases,2014,690
computational linguistics,databases,2015,291
computational linguistics,databases,2016,215
computational linguistics,databases,2017,47
computational linguistics,graphics,2000,1
computational linguistics,graphics,2002,2
computational linguistics,graphics,2004,3
computational linguistics,graphics,2005,2
computational linguistics,graphics,2006,1
computational linguistics,graphics,2007,1
computational linguistics,graphics,2008,3
computational linguistics,graphics,2009,2
computational linguistics,graphics,2010,4
computational linguistics,graphics,2011,2
computational linguistics,graphics,2012,4
computational linguistics,graphics,2013,10
computational linguistics,graphics,2014,7
computational linguistics,graphics,2015,2
computational linguistics,graphics,2016,1
computational linguistics,hci,2000,1
computational linguistics,hci,2002,1
computational linguistics,hci,2003,1
computational linguistics,hci,2004,10
computational linguistics,hci,2005,2
computational linguistics,hci,2006,11
computational linguistics,hci,2007,16
computational linguistics,hci,2008,13
computational linguistics,hci,2009,7
computational linguistics,hci,2010,10
computational linguistics,hci,2011,17
computational linguistics,hci,2012,18
computational linguistics,hci,2013,15
computational linguistics,hci,2014,31
computational linguistics,hci,2015,25
computational linguistics,hci,2016,27
computational linguistics,hci,2017,13
computational linguistics,information theory,1992,1
computational linguistics,information theory,1993,2
computational linguistics,information theory,1994,2
